id;Name;Quant;Type;Date;Status;Province;lat;lon;;;;;;
Kherson Oblast;БРДМ-2;1;RECCE;25.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;47.439474;33.276985;;;;;;
Kherson Oblast;БРДМ-2;1;RECCE;25.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;47.439474;33.276985;;;;;;
Chernihiv Oblast;Т-64БВ;1;MBT;25.04.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.517487;31.242224;;;;;;
Luhansk Oblast;БРДМ-2Л1;1;RECCE;24.04.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.049943;38.221114;;;;;;
Kharkiv Oblast;БТР-4Е;1;APC;23.04.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507;;;;;;
Luhansk Oblast;Т-72АВ;1;MBT;22.04.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.025828;38.369633;;;;;;
Kharkiv Oblast;Т-64БВ;1;MBT;22.04.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.336480;36.178633;;;;;;
Kharkiv Oblast;БТР-80;1;APC;22.04.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.336480;36.178633;;;;;;
;Т-64БВ;1;MBT;21.04.2022;DESTROYED;;;;;;;;;
Luhansk Oblast;БТР-3Е;1;APC;21.04.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.031693;38.334291;;;;;;
Kharkiv Oblast;Т-72Б;1;MBT;20.04.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.191272;37.278272;;;;;;
Donetsk Oblast;БРДМ-2РХБ;1;RECCE;19.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
Kyiv Oblast;Т-80БВ;1;MBT;19.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.604310;30.309499;;;;;;
