id;Name;Quant;Type;Date;Status;Town;Province;lat;lon
;МТ-ЛБС;1;APC;15.04.2022;DESTROYED;;;;
Donetsk Oblast;БТР-80;1;APC;15.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;Т-72Б;1;MBT;15.04.2022;DESTROYED;;ДОНЕЦКАЯ ОБЛАСТЬ;48.015877;37.802850
Donetsk Oblast;БТР-80;1;APC;15.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;БТР-80;1;APC;15.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;БТР-80;1;APC;15.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;Т-64БВ;1;MBT;14.04.2022;DESTROYED;СТАРОМЛЫНОВКА;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306
Donetsk Oblast;БТС-4;1;ARV;14.04.2022;DESTROYED;СТАРОМЛЫНОВКА;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306
Donetsk Oblast;2С7;1;ARTY;14.04.2022;DESTROYED;СТАРОМЛЫНОВКА;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306
Donetsk Oblast;5П85С;1;AA;14.04.2022;DESTROYED;СТАРОМЛЫНОВКА;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306
Donetsk Oblast;9А310;1;AA;14.04.2022;DESTROYED;СТАРОМЛЫНОВКА;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306
Donetsk Oblast;Р-975М;1;APC;14.04.2022;DESTROYED;СТАРОМЛЫНОВКА;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306
;МТ-ЛБ;1;APC;14.04.2022;DESTROYED;;;;
Kherson Oblast;БТР-80;1;APC;13.04.2022;DESTROYED;;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Kherson Oblast;БТР-80;1;APC;13.04.2022;DESTROYED;;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Kherson Oblast;БТР-80;1;APC;13.04.2022;DESTROYED;;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Kherson Oblast;БРДМ-2Л1;1;RECCE;13.04.2022;DESTROYED;;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Kharkiv Oblast;Т-64БВ;1;MBT;13.04.2022;DESTROYED;;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507
Donetsk Oblast;Т-80БВ;1;MBT;13.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;БТР-4Е;1;APC;13.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;Т-80БВ;1;MBT;13.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
;БРДМ-2РХБ;1;RECCE;13.04.2022;DESTROYED;;;;
Donetsk Oblast;Т-80БВ;1;MBT;13.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;Т-80БВ;1;MBT;13.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;Т-80БВ;1;MBT;13.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;БТР-Д;1;APC;12.04.2022;DESTROYED;;ДОНЕЦКАЯ ОБЛАСТЬ;48.015877;37.802850
Kyiv Oblast;БРДМ-2Л1;1;RECCE;11.04.2022;DESTROYED;ЗАГАЛЬЦЫ;КИЕВСКАЯ ОБЛАСТЬ;50.66528;29.829388
;9А33Б;1;AA;10.04.2022;DESTROYED;;;;
Kharkiv Oblast;Т-64БВ;1;MBT;10.04.2022;DESTROYED;КАМЕНКА;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.121520;37.292813
Donetsk Oblast;Т-64БВ ОБР. 2017;1;MBT;10.04.2022;DESTROYED;ЗАЧАТОВКА;ДОНЕЦКАЯ ОБЛАСТЬ;47.497736;37.150871
Chernihiv Oblast;Т-64БВ;1;MBT;10.04.2022;DESTROYED;;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
