id;Type;Quant;Date;Status;Province;lat;lon
Donetsk Oblast;APC;1;14.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306
;APC;1;14.04.2022;DESTROYED;;;
Kherson Oblast;APC;1;13.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Kherson Oblast;APC;1;13.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Kherson Oblast;APC;1;13.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Kherson Oblast;RECCE;1;13.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Kharkiv Oblast;MBT;1;13.04.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507
Donetsk Oblast;MBT;1;13.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;APC;1;13.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;MBT;1;13.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
;RECCE;1;13.04.2022;DESTROYED;;;
Donetsk Oblast;MBT;1;13.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;MBT;1;13.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;MBT;1;13.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;APC;1;12.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;48.015877;37.802850
Kyiv Oblast;RECCE;1;11.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.66528;29.829388
;AA;1;10.04.2022;DESTROYED;;;
Kharkiv Oblast;MBT;1;10.04.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.121520;37.292813
Donetsk Oblast;MBT;1;10.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.497736;37.150871
Chernihiv Oblast;MBT;1;10.04.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
Chernihiv Oblast;MBT;1;09.04.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.518007;31.357514
Donetsk Oblast;MBT;1;08.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;48.015877;37.802850
Kyiv Oblast;APC;1;08.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;RECCE;1;07.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.630781;36.982374
Donetsk Oblast;MBT;1;07.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.557850;37.074756
Kyiv Oblast;MBT;1;07.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;47.096703;37.541440
;MBT;1;05.04.2022;DESTROYED;;;
Donetsk Oblast;APC;1;05.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Kyiv Oblast;APC;1;05.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.620189;30.055491
Chernihiv Oblast;MBT;1;05.04.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.418547;31.307509
Kyiv Oblast;MBT;1;05.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.450458;30.523460
Donetsk Oblast;AA;1;04.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.056893;37.307788
Luhansk Oblast;APC;1;03.04.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;48.770982;38.802217
;MBT;1;03.04.2022;DESTROYED;;;
Kherson Oblast;AA;1;02.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Donetsk Oblast;APC;1;01.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Zaporizhia Oblast;MBT;1;31.03.2022;DESTROYED;ЗАПОРОЖСКАЯ ОБЛАСТЬ;47.221454;35.706124
Kyiv Oblast;MBT;1;31.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.580265;30.264853
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Donetsk Oblast;APC;1;30.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;49.095853;37.964115
Kyiv Oblast;RECCE;1;30.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;47.096703;37.541440
Kyiv Oblast;APC;1;30.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;47.096703;37.541440
Zaporizhia Oblast;APC;1;30.03.2022;DESTROYED;ЗАПОРОЖСКАЯ ОБЛАСТЬ;47.221454;35.706124
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;AA;1;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kyiv Oblast;APC;1;30.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.580265;30.264853
Kyiv Oblast;MBT;1;30.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.507424;29.810188
Kyiv Oblast;MBT;1;30.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.485232;29.718201
Kyiv Oblast;MBT;1;30.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.467221;29.814851
Kyiv Oblast;APC;1;29.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.450441;30.523550
Chernihiv Oblast;MBT;1;28.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
Kyiv Oblast;AA;1;26.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.276170;30.204585
Donetsk Oblast;MBT;1;26.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.598505;37.483512
Donetsk Oblast;APC;1;26.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Kyiv Oblast;RECCE;1;26.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.467221;29.814851
